Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1593.63115409,OUT049
FDW14,1463.03984935,OUT017
NCN55,574.661158601,OUT010
FDQ58,2508.36699236,OUT017
FDY38,5835.22405874,OUT027
FDH56,1947.35474514,OUT046
FDL48,752.589376464,OUT018
FDC48,2189.85343904,OUT027
FDN33,1525.48059442,OUT045
FDA36,3052.56008119,OUT017
FDT44,1965.49402538,OUT017
FDQ56,1444.66875521,OUT045
NCC54,575.890861005,OUT019
FDU11,1999.27119589,OUT049
DRL59,811.029600337,OUT013
FDM24,2495.81916963,OUT049
FDI57,3116.34947943,OUT045
DRC12,3049.64637667,OUT018
NCM42,2912.89870334,OUT027
FDA46,506.599720122,OUT010
FDA31,2855.40748246,OUT013
NCJ31,3889.10236051,OUT035
FDG52,748.98492938,OUT046
NCL19,284.092872751,OUT019
FDS10,3004.9204681,OUT035
FDX22,563.803348887,OUT010
NCF19,748.98492938,OUT035
NCE06,2553.12047137,OUT046
DRC27,3898.01694903,OUT046
FDE21,1944.2245564,OUT035
NCR42,129.568768788,OUT019
FDX51,3049.64637667,OUT018
NCR06,673.683798531,OUT018
FDU31,5835.22405874,OUT027
FDU59,2565.59170232,OUT017
FDR03,5833.21891517,OUT027
FDS49,2069.38278966,OUT027
FDD48,268.577351957,OUT010
NCF18,3052.56008119,OUT017
NCD43,2867.05942279,OUT027
NCD54,2156.36358144,OUT018
FDY19,269.764669603,OUT010
NCY54,2855.40748246,OUT017
NCL19,2489.99517252,OUT018
FDP23,573.933560002,OUT010
FDC26,1718.65130139,OUT013
FDR14,129.568768788,OUT010
NCS41,3052.56008119,OUT035
FDF41,3921.70296131,OUT035
FDU34,2002.50192574,OUT046
DRH11,914.917403863,OUT046
FDM03,1588.83804222,OUT013
FDS31,3006.93751171,OUT017
FDJ20,1999.27119589,OUT017
FDV44,5207.5826339,OUT027
FDG02,3052.56008119,OUT049
FDA09,2964.42380097,OUT013
FDT04,665.44741159,OUT013
FDL58,574.904495218,OUT019
FDE52,1484.74545028,OUT045
FDW12,2491.1847137,OUT035
FDL51,3691.68904754,OUT017
NCY42,2982.73427721,OUT027
FDR07,1529.83011457,OUT017
FDN40,2500.57421118,OUT045
FDB35,2696.39617501,OUT027
FDA22,2568.07847625,OUT017
NCL06,4051.55746335,OUT046
FDI35,3009.17919095,OUT013
NCW42,3747.49121265,OUT045
NCX06,2971.10084182,OUT049
FDC37,2895.26247818,OUT027
FDZ14,1999.27119589,OUT018
DRG49,3896.4179281,OUT049
NCG06,4035.68767278,OUT045
DRC36,2856.68658711,OUT045
FDV21,280.901446132,OUT019
FDB53,2494.92727313,OUT046
DRP47,573.997195719,OUT019
FDA14,2494.92727313,OUT013
DRC24,2501.85331584,OUT035
FDW21,1563.30738297,OUT018
NCH29,1529.83011457,OUT046
FDU58,3052.56008119,OUT013
FDY27,2887.66223064,OUT017
FDV56,1595.99889973,OUT035
FDT59,3807.23555964,OUT046
FDB23,3772.26783602,OUT046
FDR49,748.186466712,OUT045
FDB03,575.890861005,OUT010
FDN39,2569.35758091,OUT045
FDX02,5836.7523256,OUT027
FDQ16,2891.85373398,OUT027
FDU35,1539.60580394,OUT018
NCT29,1999.27119589,OUT013
FDZ27,748.98492938,OUT046
FDN57,2008.01358553,OUT017
FDA03,2492.45862729,OUT018
FDZ36,3052.56008119,OUT045
NCU05,1398.47889122,OUT013
FDT39,2493.35052378,OUT018
FDK60,1529.83011457,OUT017
FDZ25,2756.68815412,OUT017
FDG12,1999.27119589,OUT046
DRB01,498.754907653,OUT019
NCC43,5836.7523256,OUT027
FDX13,573.377699027,OUT019
FDM22,891.125663408,OUT049
FDJ03,1045.43061022,OUT027
FDU14,3800.59773435,OUT018
FDB33,384.442633017,OUT010
FDP27,3052.56008119,OUT046
FDO38,162.524108054,OUT010
FDE28,5836.7523256,OUT027
FDO27,1525.48059442,OUT035
DRL23,2883.61696941,OUT027
FDS28,911.76616521,OUT046
FDX24,1519.45634019,OUT013
FDZ02,1527.16192082,OUT035
FDL46,1947.35474514,OUT045
FDS60,4769.55133213,OUT027
NCO06,662.176133072,OUT017
FDO16,1442.18956368,OUT035
